artists,track_name,track_genre,Lyrics
GAYLE,abcdefu,pop,"Fuck you and your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off


I swear I meant to mean the best when it ended
Even tried to bite my tongue when you start shit
Now you're textin' all my friends asking questions
They never even liked you in the first place
Dated a girl that I hate for the attention
She only made it two days, what a connection
It's like you'd do anythin' for my affection
You're goin' all about it in the worst ways


I was into you, but I'm ovеr it now
And I was tryna be nice
But nothing's getting through, so lеt me spell it out


A-B-C-D-E, F you
And your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off
See GAYLE LiveGet tickets as low as $77You might also like
Na-na-na-na, na-na-na-na
A-B-C-D-E, F you

You said you just needed space and so I gave it
When I had nothin' to say, you couldn't take it
Told everyone I'm a bitch, so I became it
Always had to put yourself above me


I was into you, but I'm over it now
And I was tryna be nice
But nothing's getting through, so let me spell it out


A-B-C-D-E, F you
And your mom and your sister and your job
And your craigslist couch and the way your voice sounds
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off


Na-na-na-na, na-na-na-na
A-B-C-D-E, F off (F off)
Na-na-na-na, na-na-na-na
A-B-C-D-E, F you

And your mom and your sister and your job
And your broke-ass car and that shit you call art
Fuck you and your friends that I'll never see again
Everybody but your dog, you can all fuck off"
Taylor Swift,Wildest Dreams,pop,"He said, ""Let's get out of this town
Drive out of the city, away from the crowds""
I thought, ""Heaven can't help me now""
Nothing lasts forever
But this is gonna take me down


He's so tall and handsome as hell
He's so bad, but he does it so well
I can see the end as it begins
My one condition is


Say you'll remember me
Standin' in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah, ha
Wildest dreams, ah, ha


I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothin' lasts forever
But this is gettin' good now
See Taylor Swift LiveGet tickets as low as $83You might also like
He's so tall and handsome as hell
He's so bad, but he does it so well
And when we've had our very last kiss
My last request is


Say you'll remember me
Standin' in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah, ha
Wildest dreams, ah, ha

You'll see me in hindsight
Tangled up with you all night
Burnin' it down
Someday, when you leave me
I bet these memories
Follow you around
You'll see me in hindsight
Tangled up with you all night
Burnin' (Burnin') it (It) down (Down)
Someday, when you leave me
I bet these memories
Follow (Follow) you (You) around
(Follow you around)

Say you'll remember me
Standing in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just pretend


Say you'll remember me
Standin' in a nice dress
Starin' at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your (Just pretend, just pretend)
Wildest dreams, ah, ha (Ah)
In your wildest dreams, ah, ha
Even if it's just in your
In your wildest dreams, ah, ha
In your wildest dreams, ah, ha"
Zack Knight;Nora Fatehi,Dirty Little Secret,pop,"(Hold up)
Girl I ain't looking for no drama
Don't wanna take you home to mama (Yeah girl)
Just wanna keep it one-on-one, uh
Yeah, yeah, yeah, yeah, yeah, yeah (Hold up)
I wanna get your body on me (Yeah girl)
And make you think of all them bad dreams
I heard you like it like Madonna
Come and let me set you free


'Cause you could be my dirty little secret
Be my dirty dealer
Baby til' you fall asleep
'Cause I could put your body on the ceiling
You don't need a reason
Call me till it's after three


'Cause I could make you never wanna lеave (Oi)
Bring you to your knees (Oi)
Come and live your fantasy
'Causе I could be your dirty little secret
Be my dirty dealer
You could put the X on me, X on me
You might also like
X on Me
La, la, la, la, la, la


Boy I know you wanna get a taste (Wanna taste)
I know u wanna see me levitate (Levitate)
But when you come around don't make me wait (Brrt)
You heard it's sweeter than a lemonade (Lemonade)
Boy I don't wanna be your one and only
'Cause all they wanna do is try to own me
But you the one I'm calling when I'm lonely, yeah, yeah, yeah, yeah
You said you never had it like this with dem other gyal
That's why you wanna keep the business to the minimal
Could never be my inta habibi, if you wanna get with me


And you could be my dirty little secret
Be my dirty dealer
Baby till you fall asleep
I could put your body on the ceiling
You don't need a reason
Call me till it's after three


'Cause I can make you never wanna leave
Bring you to your knees
Come and live your fantasy
'Cause I can be your dirty little secret
Be my dirty dealer
You could put the X on me, X on me

X on Me
La, la, la, la, la, la


'Cause when I see that big back, body on TikTok
Call me 'round the clock, there will be no hesitation
Don't wanna misguide ya', always on time girl
We don't need a label, we don't need no altercation
So hit me on my line, so I can be of service
I don't wanna lie girl, it's better when you're nervous
Don't wanna make you mine but I wanna make a promise
That if you wanna that ecstasy


'Cause you could be my─
You could be my d─


'Cause you could be my dirty little secret
Be my dirty dealer
Baby, til' you fall asleep (Baby, till you fall asleep)
And I could put your body on the ceiling
You don't need a reason
Call me til' it's after three (Yeah)

'Cause I can make you never wanna leave (Oi)
Bring you to your knees (Oi)
Come and live your fantasy
You can be my dirty little secret
Be my dirty dealer
You could put the X on me, X on me


X on me
You could put the X on me, X on me


(X-X-X on me)"
The Weeknd;Daft Punk,I Feel It Coming,pop,"Yeah, ah


Tell me what you really like
Baby, I can take my time
We don't ever have to fight
Just take it step-by-step
I can see it in your eyes
'Cause they never tell me lies
I can feel that body shake
And the heat between your legs


You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me


I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe


You are not the single type
So, baby, this the perfect time
I'm just tryna get you high (I'm just tryin', babe)
And faded off this touch
You don't need a lonely night
So, baby, I can make it right
You just gotta let me try (Try)
To give you what you want
You might also like
You've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me


I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe
I feel it comin', I feel it comin', babe


Uh, you've been scared of love and what it did to you
You don't have to run, I know what you've been through
Just a simple touch and it could set you free
We don't have to rush when you're alone with me


I feel it comin' (I feel it comin')
I feel it comin', babe (I feel it comin', babe)
I feel it comin' (I feel it comin')
I feel it comin', babe (I know what you feel right now)
I feel it comin' (I feel it comin')
I feel it comin', babe (I feel it comin', baby)
I feel it comin' (I feel it comin')
I feel it comin', babe (I know what you say right now, babe)
I feel it comin' (Na-na-na, na-na-na, na-na-na; I feel it comin')
I feel it comin', babe (I feel it comin', babe; oh, babe)
I feel it comin' (I feel it comin')
I feel it comin', babe (I know what you say right now)
I feel it comin' (Na-na-na, na-na-na, na-na-na; I feel it comin')
I feel it comin', babe (I feel it comin', baby)
I feel it comin' (I feel it comin')
I feel it comin', babe

I feel it comin', babe
I feel it comin', babe
I feel it comin', babe
I feel it comin', babe"
Maroon 5;Wiz Khalifa,Payphone,pop,"I'm at a payphone, tryin' to call home
All of my change I spent on you
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?


Yeah, I, I know it's hard to remember
The people we used to be
It's even harder to picture
That you're not here next to me
You say it's too late to make it
But is it too late to try?
And in our time that you wasted
All of our bridges burned down


I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time
When we called it ""Love""
But even the sun
Sets in paradise


I'm at a payphone, tryin' to call home
All of my change I spent on you
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two?
See Maroon 5 LiveGet tickets as low as $55You might also like
If happy-ever-after's did exist
I would still be holdin' you like this
All those fairytales are full of shit
One more fuckin' love song, I'll be sick, oh


You turned your back on tomorrow
'Cause you forgot yesterday
I gave you my love to borrow
But you just gave it away
You can't expect me to be fine (Oh-oh)
I don't expect you to care (Yeah)
I know I said it before
But all of our bridges burned down


I've wasted my nights
You turned out the lights
Now I'm paralyzed
Still stuck in that time
When we called it ""Love""
But even the sun
Sets in paradise


I'm at a payphone, tryin' to call home
All of my change I spent on you (Oh, oh-oh-oh)
Where have the times gone? Baby, it's all wrong
Where are the plans we made for two? (Yeah)

If happy-ever-after's did exist
I would still be holdin' you like this
And all those fairytales are full of shit
One more fuckin' love song, I'll be sick (Yeah, uh)
Now, I'm at a payphone

Man, fuck that shit
I'll be out spendin' all this money while you're sittin' 'round
Wondering why it wasn't you who came up from nothin'
Made it from the bottom, now when you see me, I'm stuntin'
And all of my cars start with the push of a button
Telling me I changed since I blew up or whatever you call it
Switched the number to my phone so you never could call it
Don't need my name on my shirt, you can tell that I'm ballin'
Swish, what a shame, coulda got picked
Had a really good game, but you missed your last shot
So you talk about who you see at the top
Or what you could've saw, but sad to say it's over for
Phantom pulled up, valet open doors
Wished I'd go away, got what you was looking for
Now it's me who they want
So you can go and take that little piece of shit with you (Yeah)


I'm at a payphone, tryin' to call home
All of my change I spent on you (Woo)
Where have the times gone? Baby, it's all wrong (Yeah)
Where are the plans we made for two? (Yeah)

If happy-ever-after's did exist (Oh)
I would still be holdin' you like this
And all these fairytales are full of shit (Yeah)
One more fuckin' love song, I'll be sick
Yeah, now, I'm at a payphone"
Taylor Swift,You Belong With Me (Taylor’s Version),pop,"You're on the phone with your girlfriend, she's upset
She's goin' off about something that you said
'Cause she doesn't get your humor like I do
I'm in my room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do


'Cause she wears short skirts, I wear T-shirts
She's Cheer Captain and I'm on the bleachers
Dreaming 'bout the day when you wake up and find
That what you're lookin' for has been here the whole time


If you could see that I'm the onе who understands you
Been here all along, so why can't you see?
You bеlong with me, you belong with me


Walking the streets with you and your worn-out jeans
I can't help thinking this is how it ought to be
Laughin' on a park bench, thinking to myself
""Hey, isn't this easy?""
And you've got a smile that could light up this whole town
I haven't seen it in a while since she brought you down
You say you're fine, I know you better than that
Hey, what you doin' with a girl like that?
See Taylor Swift LiveGet tickets as low as $83You might also like
She wears high heels, I wear sneakers
She's Cheer Captain and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're lookin' for has been here the whole time


If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me
Standin' by and waitin' at your back door
All this time, how could you not know, baby?
You belong with me, you belong with me


Oh, I remember you
Driving to my house in the middle of the night
I'm the one who makes you laugh when you know you're 'bout to cry
I know your favorite songs and you tell me 'bout your dreams
Think I know where you belong, think I know it's with me


Can't you see that I'm the one who understands you?
Been here all along, so why can't you see? (Ah)
You belong with me
Standin' by and waitin' at your back door
All this time, how could you not know, baby?
You belong with me, you belong with me

You belong with me
Have you ever thought, just maybe you belong with me?
You belong with me"
The Weeknd,Save Your Tears,pop,"Ooh
Na-na, yeah


I saw you dancing in a crowded room (Uh)
You look so happy when I'm not with you
But then you saw me, caught you by surprise
A single teardrop falling from your eye


I don't know why I run away
I make you cry when I run away


You could've asked me why I broke your heart
You could've told me that you fell apart
But you walked past me like I wasn't there
And just pretended like you didn't care


I don't know why I run away
I make you cry when I run away


Take me back 'cause I wanna stay
Save your tears for another
You might also like
Save your tears for another day
Save your tears for another day (So)


I made you think that I would always stay
I said some things that I should never say
Yeah, I broke your heart like someone did to mine
And now you won't love me for a second time


I don't know why I run away, oh, girl
Said, I make you cry when I run away


Girl, take me back 'cause I wanna stay
Save your tears for another
I realize that I'm much too late
And you deserve someone better


Save your tears for another day (Oh yeah)
Save your tears for another day (Yeah)


I don't know why I run away
I'll make you cry when I run away

Save your tears for another day
Ooh, girl, I said (Ah)
Save your tears for another day (Ah)


Save your tears for another day (Ah)
Save your tears for another day (Ah)"
Billie Eilish,you should see me in a crown,pop,"Bite my tongue, bide my time
Wearing a warning sign
Wait 'til the world is mine
Visions I vandalize
Cold in my kingdom size
Fell for these ocean eyes


You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by one by one
One by one by
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by one by one
One by one by one


Count my cards, watch them fall
Blood on a marble wall
I like the way they all scream
Tell me which one is worse
Living or dying first
Sleeping inside a hearse (I don't dream)
See Billie Eilish LiveGet tickets as low as $95You might also like
You say, ""Come over, baby
I think you're pretty""
I'm okay, I'm not your baby
If you think I'm pretty


You should see me in a crown
I'm gonna run this nothing town
Watch me make 'em bow
One by one by one
One by one by
You should see me in a crown
Your silence is my favorite sound
Watch me make 'em bow
One by one by one
One by one by one




Crown
I'm gonna run this nothing town
Watch me make 'em bow
One by one by one
One by one by
You should see me in a crown (You should see me, see me)
Your silence is my favorite sound (You should see me, see me)
Watch me make 'em bow
One by one by one
One by one by one"
BTS,Butter,pop,"Smooth like butter
Like a criminal undercover
Gon' pop like trouble
Breakin' into your heart like that (Ooh)
Cool shade stunner
Yeah, I owe it all to my mother
Hot like summer
Yeah, I'm makin' you sweat like that
Break it down


Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like


Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll


Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad
Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that
Break it down
You might also like
Ooh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like


Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll


Get it, let it roll
Get it, let it roll


Ice on my wrist, I'm the nice guy
Got the right body and the right mind
Rollin' up to party, got the right vibe
Smooth like (Butter), hate us (Love us)
Fresh boy pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go

Side step, right, left to my beat (Right, left to my beat)
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap (You know that talk is cheap)
Side step, right, left to my beat
Get it, let it roll

Smooth like (Butter), cool shade (Stunner)
And you know we don't stop
Hot like (Summer), ain't no (Bummer)
You be like, oh my god
We gon' make you rock and you say (Yeah)
We gon' make you bounce and you say (Yeah)
Hotter? Sweeter! Cooler? Butter!


Get it, let it roll"
Chris Brown,Under The Influence,pop,"Kido, Kido
K-K-Kido on the beat, better run it back


Fuckin' Robitussin
I don't know why this shit got me lazy right now, yeah
Can't do Percocets or Molly (Molly)
I'm turnin' one, tryna live it up here right, right, right


Baby, you can
Ride it, ooh, yeah
Bring it over to my place
And you be like
""Baby, who cares?""
But I know you care
Bring it over to my place


You don't know what you did, did to me
Your body lightweight, speaks to me
I don't know what you did, did to me
Your body lightweight, speaks to me


('Cane on it)
Yeah
Yeah (Yeah)
See Chris Brown LiveGet tickets as low as $60You might also like
I can make it hurricane on it ('Cane on it)
Hunnid bands, make it rain on it (Rain on it)
Tie it up, put a chain on it (Chain on it)
Make you tattoo my name on it (Name on it), oh
Make you cry like a baby, yeah
Let's GoPro and make a video, yeah (Yeah)
Make you cry like a baby, yeah
Let's GoPro and make a video (Video)
Oh, yeah-yeah-yeah-yeah


Baby, you can
Ride it, ooh, yeah
Bring it over to my place
And you be like
""Baby, who cares?""
But I know you care
Bring it over to my place


You don't know what you did, did to me
Your body lightweight, speaks to me
I don't know what you did, did to me
Your body lightweight, speaks to me

('Cane on it)
('Cane on it)
('Cane on it)


Baby, you can
Ride it, ooh, yeah
(Molly, Molly)
And you be like
""Baby, who cares?""
But I know you care
(Molly, Molly)"
One Direction,Steal My Girl,pop,"She been my queen since we were sixteen
We want the same things, we dream the same dreams
Alright, alright
I got it all 'cause she is the one
Her mum calls me ""Love,"" her dad calls me ""Son""
Alright, alright


I know, I know, I know for sure


Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me


Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me
You might also like
Kisses like cream, her walk is so mean
And every jaw drops when she's in those jeans
Alright, alright
I don't exist if I don't have her
The sun doesn't shine, the world doesn't turn
Alright, alright


But I know, I know, I know for sure


Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me


Na-na-na-na-na-na-na (Oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na-na-na

She knows, she knows
That I never let her down before
Oh, she knows, she knows
That I'm never gonna let another take her love from me now


Everybody wanna steal my girl (Wants to steal my girl)
Everybody wanna take her heart away (Wants to take her love away)
Couple billion in the whole wide world
Find another one 'cause she belongs to me
(Well, find another one 'cause she belongs to me)
Everybody wanna steal my girl
Everybody wanna take her heart away
Couple billion in the whole wide world
Find another one 'cause she belongs to me (Oh, yeah)


Na-na-na-na-na-na-na (Oh, yeah, alright, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na, na-na
She belongs to me
Na-na-na-na-na-na-na (She belongs to me, yeah, oh, yeah)
Na-na-na-na-na-na-na (Alright)
Na-na-na-na-na-na-na
She belongs to me"
Marshmello;Bastille,Happier,pop,"Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier


When the morning comes
When we see what we've become
In the cold light of day, we're a flame in the wind
Not the fire that we've begun
Every argument, every word we can't take back
'Cause with all that has happened
I think that we both know the way that this story ends


Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave
Know that means I'll have to leave


Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
You might also like
When the evening falls
And I'm left there with my thoughts
And the image of you being with someone else
Well, it's eating me up inside
But we ran our course, we pretended we're okay
Now if we jump together, at least we can swim
Far away from the wreck we made


Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave
Know that means I'll have to leave


Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier


So I'll go, I'll go
I will go, go, go
So I'll go, I'll go
I will go, go, go

Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
Even though I might not like this
I think that you'll be happier, I want you to be happier


Then only for a minute (Only for a minute)
I want to change my mind
'Cause this just don't feel right to me (Right to me)
I wanna raise your spirits (Wanna raise your spirits)
I want to see you smile but
Know that means I'll have to leave
Know that means I'll have to leave


Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier


So I'll go, I'll go
I will go, go, go"
Billie Eilish,bury a friend,pop,"Billie


What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?


Come here
Say it, spit it out, what is it exactly
You're payin'? Is the amount cleanin' you out? Am I satisfactory?
Today, I'm thinkin' about the things that are deadly
The way I'm drinkin' you down
Like I wanna drown, like I wanna end me


Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me


I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…
See Billie Eilish LiveGet tickets as low as $95You might also like
What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?


Listen
Keep you in the dark, what had you expected?
Me to make you my art and make you a star
And get you connected?
I'll meet you in the park, I'll be calm and collected
But we knew right from the start that you'd fall apart
'Cause I'm too expensive
It's probably somethin' that shouldn't be said out loud
Honestly, I thought that I would be dead by now (Wow)
Calling security, keepin' my head held down
Bury the hatchet or bury a friend right now


The debt I owe, gotta sell my soul
'Cause I can't say no, no, I can't say no
Then my limbs all froze and my eyes won't close
And I can't say no, I can't say no
Careful

Step on the glass, staple your tongue (Ahh)
Bury a friend, try to wake up (Ah-ahh)
Cannibal class, killing the son (Ahh)
Bury a friend, I wanna end me

I wanna end me
I wanna, I wanna, I wanna… end me
I wanna, I wanna, I wanna…


What do you want from me? Why don't you run from me?
What are you wondering? What do you know?
Why aren't you scared of me? Why do you care for me?
When we all fall asleep, where do we go?"
Justin Bieber;Ludacris,All Around The World,pop,"You're beautiful, beautiful, you should know it
(You're beautiful, beautiful, you should know it)
I think it's time, think it's time that you show it
You're beautiful, beautiful
(Go go, go, go)


Baby, what you doin'?
Where you at? Where you at?
Why you acting so shy?
Holdin' back, holdin' back
We're not the only ones doin' it like that, it like that
So DJ, bring that, bring that, bring that, bring that back


'Cause all around the world, people want to be loved, yeah
'Cause all around the world, they're no different than us, no
All around the world, people want to be loved
All around the world, they're no different than us
All around the world-world-world
All around the world-world-world


You're crazy girl, crazy girl, you should know it
(You're crazy girl, crazy girl, don't control it)
Light it up, light it up, so explosive
You're crazy girl (Yeah yeah)
You might also like
Baby, what you doin'?
Where you at? Where you at?
Why you acting so shy?
Holdin' back, holdin' back
We're not the only ones doin' it like that, it like that
So DJ, bring that, bring that, bring that, bring that back


All around the world, people want to be loved, yeah
All around the world, they're no different than us, no
All around the world, people want to be loved
All around the world, they're no different than us
All around the world-world-world
All around the world-world-world


Yeah (Okay)
Once again (All around the world-world-world)
The dynamic duo is back at it
JB, Luda


I love everything about you, you're imperfectly perfect
Everyone's itchin' for beauty, but just scratching the surface
Lost time is never found, can the DJ please reverse it?
In life we pay for change, let's make every second worth it
Anything can work if you work it
When people say you don't deserve it, then don't give in
'Cause hate may win some battles, but love wins in the end
You shine just like the sun while the moon and the stars reflect your light
Beauty revolves around you, it's only right that

All around the world, people want to be loved
All around the world, they're no different than us
All around the world
(All around the world, the world, people wanna be loved)
All around the world
(All around the world, the world, they're no different than us)
All around the world
(All around the world, the world, people wanna be loved)
All around the world
(All around the world, the world, they're no different than us)
All around the world-world-world"
David Guetta;Becky Hill;Ella Henderson,Crazy What Love Can Do,pop,"Da-da-da-da, do-do
Dun-da-da, da-dun-da-da
Da-da-da-da, do-do
Dun-da-da, da-dun-da-da


Wrap me up in diamonds, cover me in gold
But nothin' they could buy me made my heart whole
I'd given up on romance, then I found you
Ain't it crazy what love can do, crazy what love can do?


Can someone tell me what is happenin' to me?
You're my oxygen, now I can finally breathe
Didn't care for anyone until there was you
Ain't it crazy what love can do, crazy what love can do?


Da-da-da-da, do-do
Dun-da-da, da-dun-da-da
Da-da-da-da, do-do
Dun-da-da, da-dun-da-da
Da-da-da-da, do-do
Dun-da-da, da-dun-da-da
Ain't it crazy what love can do, crazy what love can do?
You might also like
Wrap me up in diamonds, cover me in gold (Gold)
But nothin' they could buy me made my heart whole
I was lonely, lonely, then I found you
Ain't it crazy what lovе can do, crazy what love can do?


Can someone tеll me what is happenin' to me?
You're my oxygen, now I can finally breathe (Finally breathe)
I didn't care for anyone until there was you
Ain't it crazy what love can do, crazy what love can do?


Da-da-da-da, do-do
Dun-da-da, da-dun-da-da (Can do, do-do-do)
Da-da-da-da, do-do
Dun-da-da, da-dun-da-da (Can do, do-do-do)
Da-da-da-da, do-do
Dun-da-da, da-dun-da-da (Can do)
Ain't it crazy what love can do, crazy what love can do?


I don't ever wanna close my eyes
'Cause this feeling's like paradise
Never felt like this in my whole life
Ain't it crazy what love can do?

Can someone tell me what is happenin' to me?
You're my oxygen, now I can finally breathe (Finally breathe)
Didn't care for anyone until there was you
Ain't it crazy what love can do, crazy what love


Da-da-da-da, do-do
Dun-da-da, da-dun-da-da (Ah)
Da-da-da-da, do-do
Dun-da-da, da-dun-da-da (Oh, woah)
Da-da-da-da, do-do
Dun-da-da, da-dun-da-da (Oh)
Ain't it crazy what love can do, crazy what love can do?


Can someone tell me what is happenin' to me? (Ah)
You're my oxygen, now I can finally breathe (Finally breathe)
I didn't care for anyone until there was you
Ain't it crazy what love can do, crazy what love can do?"
Harry Styles,As It Was,pop,"Come on, Harry, we wanna say goodnight to you


Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh


In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same


Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
You might also like
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same


Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first


(Hey)
As it was
You know it's not the same as it was
As it was, as it was"
Lana Del Rey,Summertime Sadness,pop,"Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got my red dress on tonight
Dancin' in the dark, in the pale moonlight
Done my hair up real big, beauty queen style
High heels off, I'm feelin' alive


Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)


Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh
See Lana Del Rey LiveGet tickets as low as $85You might also like
I'm feelin' electric tonight
Cruisin' down the coast, goin' 'bout 99
Got my bad baby by my heavenly side
I know, if I go, I'll die happy tonight


Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)


Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh


Think I'll miss you forever
Like the stars miss the sun in the morning sky
Later's better than never
Even if you're gone, I'm gonna drive (Drive)
Drive

I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh


Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh"
Bruno Mars,Talking to the Moon,pop,"I know you're somewhere out there
Somewhere far away
I want you back, I want you back
My neighbors think I'm crazy
But they don't understand
You're all I had, you're all I had


At night when the stars light up my room
I sit by myself


Talking to the moon
Tryna get to you
In hopes you're on the other side talking to me, too
Or am I a fool who sits alone talking to the moon?
Oh


I'm feeling like I'm famous, the talk of the town
They say I've gone mad
Yeah, I've gone mad
But they don't know what I know
'Cause when the sun goes down
Someone's talkin' back
Yeah, they're talkin' back, oh
See Bruno Mars LiveGet tickets as low as $126You might also like
At night when the stars light up my room
I sit by myself


Talking to the moon
Tryna get to you
In hopes you're on the other side talking to me, too
Or am I a fool who sits alone talking to the moon?


Oh-oh, oh-oh, oh-oh
Do you ever hear me calling?
Oh-oh (Oh-oh-oh), oh-oh (Oh-oh-oh), oh-oh


'Cause every night, I'm talking to the moon
Still tryna get to you
In hopes you're on the other side talking to me, too
Or am I a fool who sits alone talking to the moon?
Oh


I know you're somewhere out there
Somewhere far away"
Stephen Sanchez,Until I Found You,pop,"Georgia, wrap me up in all your
I want ya in my arms
Oh, let me hold ya
I'll never let you go again like I did
Oh, I used to say


I would never fall in love again until I found her
I said I would never fall, unless it's you I fall into
I was lost within the darkness, but then I found her
I found you


Georgia pulled me in
I asked to love her once again
You fell, I caught ya
I'll never let you go again like I did
Oh, I used to say


I would never fall in love again until I found her
I said I would never fall unless it's you I fall into
I was lost within the darkness, but then I found her
I found you
See Stephen Sanchez LiveGet tickets as low as $50You might also like


I would never fall in love again until I found her
I said I would never fall unless it's you I fall into
I was lost within the darkness, but then I found her
I found you"
